anio,timestre,clave,salario,inpc_general,mexindpro
2001,1,7,124.8881857,65.13635,99.65866832
2001,2,7,131.150943,65.38541,99.63357944
2001,3,7,132.5921872,65.77433,100.053331
2001,4,7,136.7576926,66.86802,99.61450967
2002,1,7,139.068972,66.61073,98.55714561
2002,2,7,139.4816616,66.78051,99.32485004
2002,3,7,141.9482292,68.06477,99.45769375
2002,4,7,144.5440699,69.7918,99.49988738
2003,1,7,146.7557214,70.26412,100.7079991
2003,2,7,151.1392264,70.56913,99.84226644
2003,3,7,154.2774597,71.64519,98.64165685
2003,4,7,157.345139,72.53215,101.4634522
2004,1,7,161.1471368,72.57803,104.3735571
2004,2,7,163.7666781,72.67485,102.9221253
2004,3,7,166.7964809,74.02229,104.2730928
2004,4,7,169.1553482,75.80919,104.9995635
2005,1,7,170.201784,76.14694,105.0543786
2005,2,7,174.3826695,77.0369,105.7389947
2005,3,7,176.029046,78.2523,107.8074637
2005,4,7,179.5093882,79.44102,110.9397676
2006,1,7,181.1499887,79.54372,112.1336545
2006,2,7,182.8755161,79.82588,114.140797
2006,3,7,184.9450816,81.49841,113.2200485
2006,4,7,186.7690535,83.17787,112.9463419
2007,1,7,189.7840571,83.78939,116.283485
2007,2,7,191.9345545,83.97574,115.4359435
2007,3,7,194.1544666,85.28865,115.7224699
2007,4,7,196.1457084,86.59246,115.3218362
2008,1,7,198.868396,86.61132,116.4028017
2008,2,7,203.3945252,87.10835,115.8726575
2008,3,7,206.0057945,89.33935,113.2364385
2008,4,7,209.7325901,91.0921,109.1938814
2009,1,7,211.1771068,91.8505,104.4461705
2009,2,7,211.1745959,92.8378,104.0040417
2009,3,7,214.3883188,93.89558,106.1386502
2009,4,7,215.9566976,94.76038,109.3413194
2010,1,7,219.1248642,96.32414,112.0859596
2010,2,7,220.1259727,96.15867,112.5118004
2010,3,7,222.5231062,97.14106,113.4257218
2010,4,7,224.2353532,99.1344,114.9106933
2011,1,7,226.821479,99.81397,115.9944754
2011,2,7,230.3997958,100.21957,116.4620657
2011,3,7,232.193846,101.65128,117.9813496
2011,4,7,235.5734426,103.19263,119.6225905
2012,1,7,238.8365075,104.46873,120.4963085
2012,2,7,242.3845571,104.86764,122.0109257
2012,3,7,245.6199296,106.78608,122.0605247
2012,4,7,248.7197762,107.89193,119.6407043
2001,1,8,115.9773034,67.45966,99.65866832
2001,2,8,119.2031218,68.34946,99.63357944
2001,3,8,118.5665699,68.94403,100.053331
2001,4,8,124.0367833,70.09139,99.61450967
2002,1,8,127.5740949,71.12244,98.55714561
2002,2,8,129.8145168,71.57213,99.32485004
2002,3,8,131.6978336,72.12535,99.45769375
2002,4,8,135.9515001,72.95479,99.49988738
2003,1,8,138.7077494,73.88352,100.7079991
2003,2,8,141.7438742,74.17031,99.84226644
2003,3,8,143.7783798,74.98674,98.64165685
2003,4,8,144.7249293,75.92261,101.4634522
2004,1,8,145.6257647,76.90037,104.3735571
2004,2,8,147.5254819,77.69226,102.9221253
2004,3,8,149.3969629,78.29057,104.2730928
2004,4,8,152.5776004,79.65784,104.9995635
2005,1,8,156.1429167,79.92043,105.0543786
2005,2,8,159.0792284,80.54308,105.7389947
2005,3,8,161.5694359,80.62048,107.8074637
2005,4,8,162.878107,81.57514,110.9397676
2006,1,8,163.6900531,82.41531,112.1336545
2006,2,8,165.8329386,82.62997,114.140797
2006,3,8,169.4719102,83.04882,113.2200485
2006,4,8,170.9839848,84.28456,112.9463419
2007,1,8,174.007559,85.68667,116.283485
2007,2,8,175.3574687,85.71663,115.4359435
2007,3,8,176.4364344,85.90793,115.7224699
2007,4,8,178.3645328,87.38842,115.3218362
2008,1,8,181.6934079,88.63824,116.4028017
2008,2,8,185.3028853,88.97514,115.8726575
2008,3,8,188.1164107,89.94175,113.2364385
2008,4,8,190.9191574,91.4307,109.1938814
2009,1,8,193.2839176,92.99049,104.4461705
2009,2,8,195.4258246,93.52397,104.0040417
2009,3,8,197.0425385,94.11521,106.1386502
2009,4,8,201.4216351,95.52848,109.3413194
2010,1,8,200.8571935,97.89596,112.0859596
2010,2,8,202.5935562,97.66089,112.5118004
2010,3,8,204.1609107,97.41559,113.4257218
2010,4,8,206.2335994,99.08423,114.9106933
2011,1,8,209.7299482,100.34032,115.9944754
2011,2,8,212.0898255,99.89474,116.4620657
2011,3,8,214.837185,99.84439,117.9813496
2011,4,8,217.1857408,102.11575,119.6225905
2012,1,8,219.2438372,104.05239,120.4963085
2012,2,8,221.3966524,103.60736,122.0109257
2012,3,8,225.539213,104.55177,122.0605247
2012,4,8,225.908401,106.08272,119.6407043
2001,1,5,95.96498921,67.07429,99.65866832
2001,2,5,98.68005519,67.81916,99.63357944
2001,3,5,99.56289059,67.95997,100.053331
2001,4,5,102.2680149,69.11646,99.61450967
2002,1,5,105.3999523,70.04254,98.55714561
2002,2,5,106.6712766,70.48181,99.32485004
2002,3,5,109.3390121,71.01547,99.45769375
2002,4,5,110.7453463,72.09675,99.49988738
2003,1,5,112.1968842,73.37241,100.7079991
2003,2,5,114.3816377,73.15475,99.84226644
2003,3,5,115.6334779,73.06788,98.64165685
2003,4,5,118.2361429,74.45488,101.4634522
2004,1,5,118.3293421,76.24296,104.3735571
2004,2,5,119.9180317,75.87222,102.9221253
2004,3,5,122.3119924,75.99681,104.2730928
2004,4,5,123.8511268,78.09496,104.9995635
2005,1,5,125.3225642,78.96765,105.0543786
2005,2,5,127.7149254,78.7981,105.7389947
2005,3,5,130.5551058,78.55907,107.8074637
2005,4,5,131.031472,80.02407,110.9397676
2006,1,5,133.7383575,81.4771,112.1336545
2006,2,5,136.3992799,80.72975,114.140797
2006,3,5,138.5874299,81.19735,113.2200485
2006,4,5,141.0466331,83.26959,112.9463419
2007,1,5,146.7395112,85.01887,116.283485
2007,2,5,147.1928789,83.54241,115.4359435
2007,3,5,148.3324214,84.43626,115.7224699
2007,4,5,154.2063107,87.17396,115.3218362
2008,1,5,155.8421475,88.1873,116.4028017
2008,2,5,158.1537151,87.81516,115.8726575
2008,3,5,159.5367675,89.12145,113.2364385
2008,4,5,163.8910566,92.31458,109.1938814
2009,1,5,165.9605875,93.4674,104.4461705
2009,2,5,166.9101528,92.8163,104.0040417
2009,3,5,169.0878927,93.45304,106.1386502
2009,4,5,171.2415736,95.59767,109.3413194
2010,1,5,175.108561,97.49467,112.0859596
2010,2,5,179.1469377,95.98384,112.5118004
2010,3,5,183.9124192,96.57194,113.4257218
2010,4,5,187.6673524,99.59449,114.9106933
2011,1,5,188.7286725,100.51131,115.9944754
2011,2,5,192.8119607,97.25162,116.4620657
2011,3,5,194.7451968,97.72813,117.9813496
2011,4,5,195.4008204,102.66137,119.6225905
2012,1,5,199.5456799,104.26829,120.4963085
2012,2,5,202.6703857,100.9831,122.0109257
2012,3,5,204.2085678,102.02102,122.0605247
2012,4,5,204.8566067,106.2995,119.6407043
2001,1,6,127.6255108,64.57047,99.65866832
2001,2,6,133.2948597,65.54202,99.63357944
2001,3,6,134.067903,66.41717,100.053331
2001,4,6,140.1410858,67.49396,99.61450967
2002,1,6,141.7132601,68.3071,98.55714561
2002,2,6,143.1354423,68.8873,99.32485004
2002,3,6,146.1424626,69.96159,99.45769375
2002,4,6,148.790082,71.25179,99.49988738
2003,1,6,150.3927404,72.26828,100.7079991
2003,2,6,153.3515368,72.72947,99.84226644
2003,3,6,154.979339,73.20704,98.64165685
2003,4,6,157.0107859,74.46934,101.4634522
2004,1,6,160.3419812,75.68905,104.3735571
2004,2,6,162.760295,75.67672,102.9221253
2004,3,6,164.841392,76.95544,104.2730928
2004,4,6,167.0356521,78.5293,104.9995635
2005,1,6,168.8695603,78.8107,105.0543786
2005,2,6,171.3833579,79.34882,105.7389947
2005,3,6,173.4934513,79.48243,107.8074637
2005,4,6,175.6842613,80.22464,110.9397676
2006,1,6,177.6577353,81.31591,112.1336545
2006,2,6,179.5410849,81.17067,114.140797
2006,3,6,183.5111701,81.86925,113.2200485
2006,4,6,185.8215408,83.55464,112.9463419
2007,1,6,189.0132177,84.5391,116.283485
2007,2,6,191.1047429,84.64833,115.4359435
